,Error,Cost,Q_pos_x_0,Q_pos_x_1,Q_pos_y_0,Q_pos_y_1,Q_pos_z_0,Q_pos_z_1,Q_att_x_0,Q_att_x_1,Q_att_y_0,Q_att_y_1,Q_att_z_0,Q_att_z_1,Q_vel_0,Q_vel_1,Q_omega_0,Q_omega_1,Q_horizon_0,Q_horizon_1
0,32670.4561233499,1067358703.30773,1055.037,1004.776,1061.142,1077.117,1464.034,1464.553,80.178,113.178,183.952,125.737,444.855,437.713,49.285,98.744,161.148,100.851,6.106,2.774
0,19396.4140739018,376220878.926256,1049.586,1010.164,1055.179,1078.024,1462.352,1472.515,74.212,115.443,178.803,122.345,445.95,442.229,49.163,93.568,168.545,104.857,6.672,3.771
0,28660.7680507988,821439625.261692,1045.849,1016.369,1055.037,1075.986,1462.74,1468.677,78.449,115.008,183.91,118.227,442.151,440.633,46.513,94.359,171.321,96.385,6.593,3.516
0,34636.4730774958,1199685267.24809,1042.303,1012.114,1057.438,1067.176,1462.535,1474.251,71.664,108.947,182.702,119.777,443.175,444.246,40.903,101.158,169.63,99.851,6.068,3.588
0,22093.5263023002,488123904.470433,1044.14,1005.02,1055.882,1067.018,1456.111,1478.721,67.38,110.195,186.524,121.517,442.094,447.29,36.628,95.663,168.291,98.846,6.248,3.849
0,29447.2034440435,867137790.67489,1041.492,1011.646,1053.394,1071.151,1459.038,1482.778,61.973,104.91,182.345,110.918,445.292,449.931,31.916,94.292,170.921,98.032,6.693,2.996
0,430139.313131851,185019828701.541,1043.83,1015.566,1050.367,1069.353,1457.58,1487.178,52.575,97.383,184.88,108.951,449.556,444.118,25.624,101.979,169.528,93.951,5.918,2.229
0,23478.3865181991,551234633.497953,1045.756,1016.579,1044.839,1071.109,1450.532,1487.925,58.317,92.114,190.338,111.834,451.847,449.983,21.927,102.997,177.219,88.75,6.638,1.861
0,25749.7846731566,663051410.713933,1039.594,1016.887,1042.692,1070.986,1451.747,1484.382,60.284,90.353,191.741,108.607,451.438,437.983,18.831,110.363,175.311,85.26,6.006,1.86
0,27889.8049423154,777841219.720398,1039.133,1019.642,1049.143,1075.914,1451.339,1491.294,66.075,89.983,195.289,103.233,456.392,439.215,18.931,108.282,174.305,90.026,5.698,2.41
0,26335.4911150857,693558092.272758,1035.724,1012.735,1050.646,1074.833,1455.249,1493.284,64.203,95.872,192.193,101.608,456.413,446.135,24.193,111.955,169.768,84.653,6.656,1.646
